"Src","Eqid","Version","Datetime","Lat","Lon","Magnitude","Depth","NST","Region"
"90","ak","10840672","1","Thursday, November  7, 2013 06:00:40 UTC",64.6314,-144.5882,2.3,57,7,"Central Alaska"
"91","pr","13311001","0","Thursday, November  7, 2013 05:59:50 UTC",17.8516,-65.2129,2.8,11,3,"Puerto Rico region"
"92","ak","10840658","2","Thursday, November  7, 2013 05:43:03 UTC",59.8506,-151.741,2.7,52.8,46,"Kenai Peninsula, Alaska"
"93","ak","10840655","1","Thursday, November  7, 2013 05:41:14 UTC",62.3295,-151.6427,1.9,75.7,8,"Central Alaska"
"94","nc","72102606","0","Thursday, November  7, 2013 05:29:19 UTC",38.8333,-122.7925,1.2,2.4,15,"Northern California"
"95","ak","10840647","1","Thursday, November  7, 2013 05:27:23 UTC",63.0847,-151.9719,1.9,1.1,9,"Central Alaska"
"96","ak","10840642","1","Thursday, November  7, 2013 05:24:51 UTC",62.0326,-150.4655,2,39.6,36,"Central Alaska"
"97","ci","11388530","2","Thursday, November  7, 2013 05:23:30 UTC",33.9938,-116.9858,1.1,7.8,19,"Southern California"
"98","ak","10840628","2","Thursday, November  7, 2013 05:13:09 UTC",62.0401,-150.5026,4.3,43.6,65,"Central Alaska"
"99","nc","72102586","1","Thursday, November  7, 2013 05:03:46 UTC",38.8387,-122.8368,1.4,2.1,27,"Northern California"
"100","ci","11388522","2","Thursday, November  7, 2013 05:02:37 UTC",35.5748,-118.4298,1.1,2.3,10,"Central California"
"101","ci","11388506","2","Thursday, November  7, 2013 04:57:10 UTC",35.1153,-118.5227,2.2,1.7,38,"Central California"
"102","nc","72102571","1","Thursday, November  7, 2013 04:52:52 UTC",38.8168,-122.8192,1.2,2.9,30,"Northern California"
"103","ci","11388498","2","Thursday, November  7, 2013 04:37:14 UTC",33.0342,-116.5255,1.4,11.1,31,"Southern California"
"104","nc","72102556","0","Thursday, November  7, 2013 04:11:43 UTC",36.2603,-120.8083,1.5,9.7,7,"Central California"
"105","nc","72102546","0","Thursday, November  7, 2013 04:02:49 UTC",40.1072,-120.8965,1.7,9.4,7,"Northern California"
"106","ci","11388490","2","Thursday, November  7, 2013 03:56:55 UTC",33.3187,-116.1848,1,9.7,17,"Southern California"
"107","ci","11388474","2","Thursday, November  7, 2013 03:40:55 UTC",35.652,-118.471,1.5,10,16,"Central California"
"108","nc","72102531","1","Thursday, November  7, 2013 03:31:14 UTC",36.5645,-121.1643,2,7.9,24,"Central California"
"109","ci","11388466","2","Thursday, November  7, 2013 03:29:11 UTC",35.0648,-118.349,1.3,2.6,10,"Southern California"
"110","nc","72102526","0","Thursday, November  7, 2013 03:22:04 UTC",38.8198,-122.8298,1.5,1.6,21,"Northern California"
"111","ak","10840600","1","Thursday, November  7, 2013 03:17:50 UTC",60.2383,-141.7161,1.1,0.2,6,"Southern Alaska"
"112","uw","60625816","2","Thursday, November  7, 2013 02:57:03 UTC",47.8945,-122.5883,1,16.1,20,"Puget Sound region, Washington"
"113","ak","10840585","2","Thursday, November  7, 2013 02:53:09 UTC",61.5276,-148.2588,2.1,26.7,31,"Southern Alaska"
"114","ak","10840576","1","Thursday, November  7, 2013 02:08:20 UTC",61.5158,-151.428,1.7,76.5,24,"Southern Alaska"
"115","ak","10840573","1","Thursday, November  7, 2013 01:49:22 UTC",61.2346,-150.9347,1.6,16.7,7,"Southern Alaska"
"116","ci","11388458","2","Thursday, November  7, 2013 01:43:02 UTC",36.2045,-117.86,1.6,9.3,18,"Central California"
"117","uw","60625786","2","Thursday, November  7, 2013 01:39:03 UTC",47.6902,-121.9652,1.1,23.8,11,"Puget Sound region, Washington"
"118","ak","10840566","1","Thursday, November  7, 2013 01:19:13 UTC",63.3208,-145.4274,1.7,0,9,"Central Alaska"
"119","uw","60625776","2","Thursday, November  7, 2013 00:56:09 UTC",47.7032,-121.9562,1.6,25.2,36,"Puget Sound region, Washington"
"120","ak","10840556","1","Thursday, November  7, 2013 00:55:52 UTC",63.9141,-148.8721,1.9,0,23,"Central Alaska"
