Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
ci,11388026,2,"Wednesday, November  6, 2013 00:22:32 UTC",35.0487,-117.6733,1.1,0.00,11,"Southern California"
ci,11388018,4,"Wednesday, November  6, 2013 00:15:45 UTC",36.0963,-117.8758,1.7,1.90,28,"Central California"
nc,72101836,1,"Wednesday, November  6, 2013 00:14:41 UTC",37.3870,-121.7430,2.1,6.50,38,"San Francisco Bay area, California"
ak,10839662,2,"Tuesday, November  5, 2013 23:57:48 UTC",61.6401,-150.2222,1.8,46.50,33,"Southern Alaska"
nc,72101821,0,"Tuesday, November  5, 2013 23:55:33 UTC",38.7583,-122.7125,1.4,1.20,13,"Northern California"
nc,72101816,1,"Tuesday, November  5, 2013 23:54:58 UTC",38.7573,-122.7187,1.9,1.90,29,"Northern California"
ak,10839651,2,"Tuesday, November  5, 2013 23:51:12 UTC",63.3435,-145.4463,2.4,6.30,38,"Central Alaska"
ci,11388010,4,"Tuesday, November  5, 2013 23:39:30 UTC",32.5943,-116.9872,1.1,0.00,15,"San Diego County urban area, California"
nc,72101811,0,"Tuesday, November  5, 2013 23:38:58 UTC",38.8423,-122.8400,1.0,2.30,20,"Northern California"
ak,10839637,2,"Tuesday, November  5, 2013 23:34:25 UTC",60.0924,-139.7496,2.4,10.40,33,"Southern Yukon Territory, Canada"
nc,72101801,0,"Tuesday, November  5, 2013 23:29:54 UTC",38.8413,-122.8380,1.5,2.10,22,"Northern California"
ak,10839622,2,"Tuesday, November  5, 2013 23:16:20 UTC",53.9310,-166.3547,1.3,6.80,11,"Fox Islands, Aleutian Islands, Alaska"
nc,72101786,1,"Tuesday, November  5, 2013 23:03:17 UTC",38.7872,-122.7363,2.1,1.70,38,"Northern California"
ak,10839605,2,"Tuesday, November  5, 2013 22:44:34 UTC",60.3953,-150.6500,1.6,55.90,19,"Kenai Peninsula, Alaska"
nc,72101771,0,"Tuesday, November  5, 2013 22:39:15 UTC",40.1610,-121.0462,1.7,7.90, 9,"Northern California"
nc,72101766,0,"Tuesday, November  5, 2013 22:38:16 UTC",39.3762,-122.9033,1.9,7.20,15,"Northern California"
nc,72101761,0,"Tuesday, November  5, 2013 22:34:29 UTC",36.5640,-121.1655,1.6,6.80,14,"Central California"
ci,11388002,4,"Tuesday, November  5, 2013 22:30:38 UTC",33.8618,-117.5005,1.3,0.00,25,"Greater Los Angeles area, California"
ci,11387994,2,"Tuesday, November  5, 2013 22:26:23 UTC",34.0385,-117.3002,1.1,19.50,12,"Greater Los Angeles area, California"
uw,60624007,4,"Tuesday, November  5, 2013 22:06:02 UTC",44.6973,-117.4637,2.7,5.30,12,"Oregon"
pr,13309013,0,"Tuesday, November  5, 2013 21:58:48 UTC",17.9622,-65.3572,2.6,12.00, 4,"Puerto Rico region"
ci,11387986,4,"Tuesday, November  5, 2013 21:57:54 UTC",35.0603,-118.3522,1.7,4.10,22,"Southern California"
ci,11387978,4,"Tuesday, November  5, 2013 21:51:00 UTC",33.9828,-116.9650,1.0,18.60,26,"Southern California"
ak,10839581,2,"Tuesday, November  5, 2013 21:44:17 UTC",61.2391,-147.5324,1.5,0.00, 8,"Southern Alaska"
ak,10839578,2,"Tuesday, November  5, 2013 21:40:47 UTC",61.6992,-149.8797,1.3,42.00,11,"Southern Alaska"
ak,10839571,2,"Tuesday, November  5, 2013 21:35:38 UTC",60.2286,-141.4167,1.6,0.00, 8,"Southern Alaska"
uu,60043777,2,"Tuesday, November  5, 2013 21:23:41 UTC",39.7020,-111.2505,1.5,1.70, 5,"Utah"
hv,60587426,2,"Tuesday, November  5, 2013 21:22:02 UTC",20.1508,-155.8150,2.6,25.60,19,"Hawaii region, Hawaii"
ak,10839561,2,"Tuesday, November  5, 2013 21:14:15 UTC",62.2410,-145.7137,1.8,15.00,19,"Central Alaska"
ak,10839565,2,"Tuesday, November  5, 2013 21:08:39 UTC",51.5653,-175.1442,2.8,55.10, 8,"Andreanof Islands, Aleutian Islands, Alaska"
ci,11387970,5,"Tuesday, November  5, 2013 21:07:22 UTC",34.0323,-117.2460,1.1,16.60,41,"Greater Los Angeles area, California"
ak,10839547,2,"Tuesday, November  5, 2013 21:04:38 UTC",62.2350,-145.7290,2.7,15.50,40,"Central Alaska"
ci,11387962,5,"Tuesday, November  5, 2013 20:54:53 UTC",33.5270,-115.8640,1.6,3.40,43,"Southern California"
ak,10840957,2,"Tuesday, November  5, 2013 19:50:10 UTC",63.1127,-150.8412,1.5,130.80,15,"Central Alaska"
pr,13309012,0,"Tuesday, November  5, 2013 19:35:04 UTC",18.0034,-65.4055,2.3,17.00, 3,"Puerto Rico region"
ak,10840956,2,"Tuesday, November  5, 2013 19:27:21 UTC",53.3752,-163.6514,2.4,27.40,12,"Unimak Island region, Alaska"
hv,60587381,2,"Tuesday, November  5, 2013 19:06:26 UTC",19.3342,-155.1467,2.1,3.80,61,"Island of Hawaii, Hawaii"
ak,10840955,2,"Tuesday, November  5, 2013 19:04:36 UTC",53.4202,-163.7143,2.5,58.20, 9,"Unimak Island region, Alaska"
ak,10839508,2,"Tuesday, November  5, 2013 19:00:11 UTC",62.2649,-145.6937,1.5,14.70,14,"Central Alaska"
uu,60043732,2,"Tuesday, November  5, 2013 18:53:39 UTC",38.9610,-111.4082,1.0,5.80, 5,"Utah"
ak,10839503,2,"Tuesday, November  5, 2013 18:50:13 UTC",63.6247,-149.6807,1.6,119.70,22,"Central Alaska"
ak,10839493,2,"Tuesday, November  5, 2013 18:39:33 UTC",62.2644,-145.7344,1.4,11.60,14,"Central Alaska"
ak,10838179,3,"Tuesday, November  5, 2013 18:33:55 UTC",62.2003,-145.7050,3.3,17.70,67,"Central Alaska"
ak,10840950,2,"Tuesday, November  5, 2013 18:31:37 UTC",60.1628,-152.9469,1.7,117.10,22,"Southern Alaska"
ak,10840949,2,"Tuesday, November  5, 2013 18:28:17 UTC",61.4653,-151.5377,1.9,69.30,18,"Southern Alaska"
ak,10838132,2,"Tuesday, November  5, 2013 18:25:38 UTC",60.4902,-141.4709,1.9,9.50,35,"Southern Alaska"
ak,10838040,2,"Tuesday, November  5, 2013 18:09:29 UTC",63.4952,-150.8591,1.0,10.80,15,"Central Alaska"
ak,10840946,2,"Tuesday, November  5, 2013 18:05:10 UTC",53.3216,-165.0711,2.0,29.70,12,"Fox Islands, Aleutian Islands, Alaska"
